Compartments,Ocean_Surface_Water,Ocean_Mixed_Water,Ocean_Column_Water,Coast_Surface_Water,Coast_Column_Water,Surface_Freshwater,Bulk_Freshwater,Sediment_Freshwater,Sediment_Coast,Sediment_Ocean,Beaches_Soil_Surface,Beaches_Deep_Soil,Background_Soil_Surface,Background_Soil,Impacted_Soil_Surface,Impacted_Soil,Air
Ocean_Surface_Water,,"rising,mixing",,advective_transport,,,,,,,,,,,,,"dry_deposition,wet_deposition"
Ocean_Mixed_Water,"settling,mixing",,"rising,mixing",,advective_transport,,,,,,,,,,,,
Ocean_Column_Water,,"settling,mixing",,,,,,,,sediment_resuspension,,,,,,,
Coast_Surface_Water,advective_transport,,,,"rising,mixing",advective_transport,,,,,runoff_transport,,runoff_transport,,runoff_transport,,"dry_deposition,wet_deposition"
Coast_Column_Water,,advective_transport,,"settling,mixing",,,advective_transport,,sediment_resuspension,,,,,,,,
Surface_Freshwater,,,,,,,"rising,mixing",,,,,,runoff_transport,,runoff_transport,,"dry_deposition,wet_deposition"
Bulk_Freshwater,,,,,,"settling,mixing",,sediment_resuspension,,,,,,,,,
Sediment_Freshwater,,,,,,,settling,,,,,,,,,,
Sediment_Coast,,,,,settling,,,,,,,,,,,,
Sediment_Ocean,,,settling,,,,,,,,,,,,,,
Beaches_Soil_Surface,,,,beaching,,,,,,,,soil_convection,,,,,"dry_deposition,wet_deposition"
Beaches_Deep_Soil,,,,,,,,,,,"percolation,soil_convection",,,,,,
Background_Soil_Surface,,,,,,,,,,,,,,soil_convection,,,"dry_deposition,wet_deposition"
Background_Soil,,,,,,,,,,,,,"percolation,soil_convection",,,,
Impacted_Soil_Surface,,,,,,,,,,,,,,,,soil_convection,"dry_deposition,wet_deposition"
Impacted_Soil,,,,,,,,,,,,,,,"percolation,soil_convection",,
Air,sea_spray_aerosol,,,sea_spray_aerosol,,,,,,,soil_air_resuspension,,soil_air_resuspension,,soil_air_resuspension,,
